rouse			唤醒，激起，醒来
compatible		可共存的，兼容的
deck				甲板，层面，装饰
gratuity			小费，退休补贴
historian		历史学家
desert						抛弃，背离，沙漠
civilian						平民，平民的
making			制造
makings			必要条件，赚头
rough				粗糙的，大概的，粗暴的，简陋的，艰难的
desirable		值得拥有的，性感的，明智的
profound					巨大的，强烈的，极度的，深奥的
transport							运输，狂喜，狂怒，放逐
provisional				临时的
fragile					易碎的，娇嫩的，脆弱的
subscribe							订购
queer					古怪的，可疑的，不舒服的
decipher					破译，辨认，理解
imaginative				富于想象力的
inclusive				包括的
mushroom						蘑菇，迅速增长
horrible				令人恐惧的，十分讨厌的
sparkle				发光，生动活泼，发泡，闪光，活力
temperate			温带的，有节制的
prerogative			特权
subtitle				副标题
subtitles			字幕
torment				折磨
seemingly				表面上，据我所知
tile					瓦片，瓷砖
isle							岛
enquiry					询问，调查
\\\\\\\\
