scout					侦查员，搜寻
ransom					赎金，赎回
venerate					崇敬
outright					完全，直率的，完全的
pageant					庆典，选美比赛，繁杂有趣的场面
graph									图表
liner					邮轮，衬套
notary					公证人
melody					曲调，主旋律，悦耳
similar							相似的
contemporary					同时代的，当代的，同龄人
reckless						鲁莽的
goad						驱赶，刺激
leak						裂缝，漏洞，泄漏
politic					明智的
register							登记簿，登记，提出，取得
lure				引诱，诱惑力，诱饵
eventually					最终
negotiable		可协商的，可转让的，可通行的
resonant			回响的，产生共鸣的
attribute							把某事物归因于...，属性
convict						判决...有罪，囚犯
assure			向...保证，弄清，确保
sightseeing						观光
latent			潜在的
varied			各种各样的
override			否决，优先于
on override		处于超弛模式
raft				筏子，充气船
a raft of		大量
perceive					察觉，把...看作
symposium				专题研讨会
\\\\\\\\
