appropriate				合适的，有关的，占用，播发
interior					内部，内陆，内景，室内的
scum						浮渣，人渣
engagement						订婚，约会，雇用，交战
trap							夹子，圈套，嘴，困住
transcend						超越
circumstance					状况，形势
authorize					批准
flask						瓶
spontaneous						主动的，自然的，淳朴的
penalty						处罚
fortify					加固
fortify oneself				增强
monsoon					雨季，倾盆大雨
retrospect			事后看来
spit							吐出，喷出，口水，小雨
negligence			疏忽
pension						养老金
enlighten			启迪，阐明
audience						观众，读者，会见
symbolize							象征，代表
hobby						业余爱好
petroleum			石油
classical				古典的，传统的
thrill						震颤感，兴奋
stadium					体育场
tyre				轮胎
review							检查，评估，评论
spoil									毁掉，宠坏，变质，桩物，奖品
cucumber			黄瓜
assign						分配，指派，确定
\\\\\\\\
