twist							转动，缠绕，弯曲，打结，转折
privacy					不受干扰，隐私
probe					调查，翻寻，探针，探测仪
ambition									志向
shanty					棚屋
devastate					摧毁
acknowledge							承认，认可，感谢
trail							小径，痕迹，垂下，落后，追踪
infant					婴儿，初期的
appointment					约会，任命，职位
auction					拍卖
constrict					收缩，束缚
commercial							商业的，商务的，大型的，广告
equivocal					模棱两可的，难以理解的
anonymous					匿名的
duplicate						复制，重复，副本
farewell					告别，再见
consumer					消费者
welfare							福祉，福利
tributary					支流，支流的
measure						计量制，标准量，措施，评价，测量
wording					措词
spray									飞沫，喷剂，喷，倾泻
fabricate					伪造，生产
eke out					节约使用，竭力维持
might					可能，可以，尽管，但愿
uprising					起义
nominee					被任命者
evict					驱逐
march							齐步走，使行进，进展
\\\\\\\\
