extravagant			挥霍的，昂贵的，过分的
recital				表演会，吟诵，叙述
gush				涌出，喷出，迸发
cut				切，挖出，减少
skip									不参加，跳过，蹦跳
recession					衰退
spur						激励
attain					实现，获得，达到
privilege							特权，荣幸
abrupt					突然的，粗鲁的，陡峭的
withhold				拒付，隐瞒
resemblance			相似之处
lethal				致命的，危险的，精准的
exhort				规劝
detective						侦探
synthetic						合成的，假的
collaboration			合作
henceforth			从此以后
dull								暗淡的，乏味的，减轻
choke									掐住脖子，说不出话，塞住
legal							法律的，法定的
furious				狂怒的，激烈的
pivot				支点，中枢，转动
pivot on				取决于某事物
timber					木材，木质的，林木
orbit							轨道，势力范围，绕…运行
pharmacy				药房
subject				主题，科目，缘由
fry								油煎
diligent							勤奋的，坚持不懈的
quantitative			量化的
\\\\\\\\
