monetary					货币的
deviate					偏离
clip				夹子，别针，夹住
maniac			狂人，疯狂的
optical			视觉的，光学的，光电的
classify						将...分类
metaphor				隐喻，象征
slender				苗条的，纤细的，微小的
desolate				无人居住的，荒芜的，悲伤的
wit					风趣，智力
hand									手，书写，鼓掌，
odd										奇怪的，不成对的，零散的
dispatch					派遣，迅速完成，公文急件，报道
tangle					缠结，混乱，争论
be in a tangle			乱成一团
associate						把...联系起来，与...有关系
slip									滑倒，滑动
retreat						撤退，隐居处
revelation						披露
defeat					失败，击败
slab						厚板，大块
lobby									大堂，游说
administration						管理，执行，政府
efficient					效率高的
throbbing					震响，阵阵作痛，搏动
lawn									草坪
superstition			迷信
exceedingly			非常
pillar				柱子，支柱，基础
spokesman				发言人，代言人
avert					防止，将...移开
\\\\\\\\
