cash									现金
grin				露齿而笑
stroke			一击，一笔
applicant							申请人
pull						拉，使...转向，影响力，拉手
secondary				次要的，间接的，中等的
indicative					指示的，陈述的
wither				枯萎，破灭，干瘪
commuter				远距离上下班往返的人
distribute							分发，分散
excrement				粪便
intelligible					明白易懂的
contempt			蔑视
palm									手掌
trauma					精神创伤
shelter								庇护所，躲避
disregard				不理会，忽视
perennial				持久的，反复出现的，长期的
ownership				所有权
antagonism			敌意
provided				提供，规定
evoke					唤起，引起，召唤
clarity					清楚，明确性
revolve			旋转，反复掂量
ambiguity			歧义，模棱两可
charter			特许状，宪章，包租
grid								格栅，网格
notation			谱号，标记
slit				窄缝，割开
hardware			硬件，设备
\\\\\\\\
