ferocious				凶猛的，锋利凶险的，强烈的
intense						强烈的，紧张的
humidity				潮湿，湿度
elaborate				精细的，复杂的，详尽阐述
underlying					位于...之下，构成...的基础
endow					向...捐赠，赋予，设立
anticipate						预料，期望，是先驱
offshore						近海的，海上的，境外的
detriment				损害，有害物
nourishment				营养食物
lick					舔，打败，轻轻触及，快速
a lick of				一层
at a lick				迅速的
marsh					沼泽
perspire				出汗
gauge					标准宽度，测量仪器，精确测量，估计
explode					爆炸，爆发，激增，突然出现
fringe				流苏，边缘，非主流的
fascinating				迷人的
uneasy				忧虑的，令人不安的，不稳定的
expedition					远征，短途出行
organism				有机体
swallow					吞下，吞没，耗尽，相信
spare								闲置的，简朴的，备用品，匀出，放过，免去
means					方法，财富
proportion						部分，比例，均衡
obscene				淫秽的，骇人听闻的
meek					温顺的
herb							草本植物
mansion				公馆
minute				分，片刻，瞬间，记录...的要点
\\\\\\\\
