mercy						仁慈，宽容力，幸运的事
diameter						直径
empirical					以经验为依据的
standard								标准，旗帜，标准的
gown						女礼服，长袍
filter								过滤器，过滤
fester			溃烂，恶化
doom							劫数，毁灭
dub				把...称为
matrimony			婚姻
sanitary			公共卫生的，卫生的
enrich						充实，使...富裕
frontier							边界，前沿
equity			公正
generous						慷慨的，丰厚的
juvenile			少年，幼稚的
fend for oneself				照料自己
longitude			经度
sting			蜇，刺疼，敲诈，痛苦
escalate					使...上涨，恶化
poverty			贫穷，贫乏
cassette							盒式磁带
date					日期，年份，约会，过时
hedge			树篱，防范措施，限定
hospitality					款待
declaration		宣布，申报，宣称
detest			憎恶
incite			煽动，激起
innovation								新方法，革新
liability					不利条件，负债，责任
\\\\\\\\
