strenuous				繁重的，顽强的
principal				最重要的，校长，主角
exhaust					使...精疲力竭
drain			下水道，消耗，排出，耗尽，流走
export							出口，传播
log				原木，日志，记录
superstructure		上部结构
taboo			禁忌，禁止，忌讳的
spatial			空间的
objection						反对
tornado			龙卷风
pin						大头针，插脚
style							方式，样式，时尚，作风，称呼
ultimatum		最后通牒
presentation					赠与，陈述，外观，表演
neglect						疏于照管，遗漏，忽视
carrot					胡萝卜，诱饵
linear			直线的
sweater								毛衣
precarious		不稳固的，危险的
amends			修改，纠正
approval								赞同，批准
faculty								官能，才能，院系
avoid							避免，避开
chat								聊天
surpass						胜过，超出
appliance		器具
despise			鄙视
plunge									纵身一跳，下沉，参与，投入
disguise			伪装，掩盖
disguise oneself		把自己扮作
\\\\\\\\
