deflect					使...偏斜，转移，劝阻
optional				可选择的
elementary				简单的，初级的，基本的
mar							破坏
compute				计算
dramatic			戏剧的，激动人心的，突发的
maim				使残废，致伤
partial				部分的，偏袒的，钟爱
launch							大型汽艇，下水，发射，实施
hearing							听觉，听得见的距离，被倾听的机会
mighty				强大的
striking			明显的，出众的，报时的
counterpart					相当的人，对应物，副本
unilateral			单边的
ruinous				无法承担的，灾难性的
jumble				胡乱摆放，混淆
instalment			一期付款，一集
refreshing						提神的
notch				凹口，刻痕，等级，赢得
correspondent		记者，通信者
peril				危险
agency					代理机构，介入，作用
elated				兴高采烈的
critical						批评性的，关键的，评论家的
picturesque			如画的，生动的
tacit				心照不宣的
controversial							有争议的
mucous				黏液的
perpetual						一再反复的，无休止的
porous				多孔的
\\\\\\\\
