whirl			旋转，繁忙
swell									肿胀，增长，充满
gross			粗俗的，严重的，总的，令人厌恶的，获得
defile			污染，亵渎
virtually						实际上，虚拟的
equivalent						相等物，相等的
forte			特长，强音的
tamper			鼓捣，篡改
prone			俯卧的，容易...的
-prone			有...倾向的
estimate						估计，评价
uniform								制服，均匀的，相同的
pupil							小学生，瞳孔
ambulance						救护车
shallow									浅的
fume					冒烟，发怒
fumes				气体
disc						圆盘，椎间盘，唱片
emergency							紧急情况
geology					地质学
stem					梗，柄脚，起源，阻止
prey					被捕食的动物，受害者
frost				霜冻
gravel				砂砾
dividend					股息，收益，被除数
pump									泵，泵送，盘问
strain						压力，劳损，种类，旋律，过滤，尽力
nibble				一点一点的吃，轻咬，侵蚀，兴趣
ally					同盟国
facilitate					促进，加快
twig					细枝，意识到
gape					张着嘴，裂开
\\\\\\\\
