ample					足够的，大量的，粗壮的
contingency				偶发事件，应急措施
validity					有效，正确
monotonous		乏味的，单调的
peel				皮，去掉...的皮，剥落
lay				安放，放，提交
leap				跳跃，迅速移动，猛涨，跳过
necessitate		使成为必要
conviction				定罪，坚定信念
dread						恐惧
script					剧本，笔迹
devote						把...专用于，奉献
supersonic			超音速的
scale						等级，刻度，比例
alien						外星人，外国的，陌生的，不相容的
axis					轴，坐标轴，轴心
fluent				流利的
design								设计，意图
mundane				平凡的，世俗的
withdraw						取回，撤回，离开
synchronize			使同步，同时发生
individual					个人，个体
afford						支付得起，提供
light							光亮，角度，灯，轻的
perceptible			可见的，可听见的，可察觉的
luxury				奢华，奢侈的
derive							起源于...，获得，衍生
executive					有执行权的，经理
soar						高飞，升高
abundance			大量，富足
\\\\\\\\
