susceptible					容易感染，善感的，容许
automatic					自动的，无意识的，必然的，自动挡
corrupt						腐败的，有错误的
multilateral					多边的，多方的
formulate					构想，制定，创立，表达
facet						方面，特点
supersede					取代
hostile						不友善的，反对的，不利的，敌人的
solo					独唱，单飞，单独的
ruthless				无情的，残忍的，意志坚定的
click					咔嗒声，变清楚，变成朋友，合作良好，点击
contest									比赛，辩驳
agreeable			亲切友善的，宜人的，愉快的，可接受的
tube										管
flourish				兴旺，茂盛，挥舞，夸张动作
detect						查明，发现
tarnish				失去光泽，玷污
counterfeit			伪造的，伪造
chew									咀嚼
devour				吞食，使心神入迷，吞没
offend				冒犯，令人不适
item							一件物品，项目
confidence					信任，自信，秘密
cosy							舒适的，亲密的
suck									吸食
employment			受雇，运用，就业
amend						修改，纠正，改进
update						更新
vengeance		报仇
factor			因素
\\\\\\\\
