abort					使...流产，终止，取消
scapegoat				替罪羊
imposing				壮观的，雄伟的
toll					通行费，伤亡人数，毁坏
irritate						使恼怒，刺激
assassination			暗杀
subjective									主观的，臆测的
surgery					外科手术，外科学，门诊大楼
yoke					奴役，连接
multiply								乘，繁殖，多样的
overthrow				推翻，废除
soak					打湿，浸泡，向...敲竹杠，渗入
-soaked					被...浸透的
poise					镇定，仪态，平稳握持，悬停
interim					在此期间，临时的
prompt							及时的，促使
applaud							鼓掌，称赞
adequate				足够的，适当的，能胜任的
amplify					放大，增强，扩展
cling					抓紧，依恋，紧贴
jail						监狱，监禁
paradox					悖论，矛盾的人或事物
flock						畜群，群集
divert					使...转向，改变...的用途，使愉悦
filth					污物
enquire					询问，打听
haste					匆忙
attractive						漂亮的，有吸引力的
plantation				种植园，林地
reclaim					开垦，回收利用，拿回
muddle					混乱，糊涂
\\\\\\\\
