metallic				金属的
obvious				明确的，明显的
sentiment				情绪，观点，伤感
harass				不断骚扰，烦扰
constrain						限制，强迫
wretched				悲惨的，极差的
resent				对...感到愤恨
offence						犯罪，冒犯，进攻
precise				清晰的，精确的，恰好的
overlap					部分重叠，相同之处
episode		事件
malice		恶意
palatable	可口的，可接受的
carve					雕刻，切开
mentality		心态
proposition					主张，计划，提议，任务
steep							陡峭的，急剧的，浸泡
hitchhike			免费搭便车
tumour				肿瘤
alliance				结盟
chic					雅致的，时髦的
denomination			教派，面值
frown							皱眉
coerce		强迫
cumbersome		笨重的，笨拙的
credit								信贷，信用，赞扬，归于
rhythm						节奏，韵律，循环往复
crash								碰撞，倒闭，死机
toneless		单调的
\\\\\\\\
