vomit					呕吐，喷出
electrician				电工
articulate				善于表达的，清晰的发音
porch					入口处，走廊
fortnight					两星期
arouse					引起，唤醒
champion									冠军，提倡者
hazard							危险
clause					分句，条款
enthusiastic					热情的
original					最早的，原来的，有独创性的，原件
output								产量，输出
plausible				貌似合理的，花言巧语的
nausea					恶心，极度厌恶
discount						折扣，不予考虑，贴现
thunder				雷声，怒吼
outcome									结果
dial										刻度盘，调节器，拨号
confidential						机密的
hinge				铰链，依赖
adore				敬爱，喜爱
finite					有限的，限定的
masculine					男性的，阳性，像男人的
mutter				嘟哝，轻声抱怨
competition					竞争，比赛
recipient				接受者
embargo				贸易禁令，官方禁令
digital					数码的，手指的
scholarship					学问，学术研究，奖学金
impose						强制执行，将...强加于人
\\\\\\\\
