complex						复杂的，建筑群，情节
consent					同意
hubbub					喧闹声，骚动
shaft					矿井，柄，轴，欺骗
a shaft of				一道
caption					标题，字幕
harbour								港口，藏匿
tumble					跌倒，坠落，暴跌，杂乱
sink									下沉，衰弱，毁掉，投入，挖掘
patron				赞助人，顾客
flu						流感
column						柱子，纵队，列
overrun				横行于，超出，超越限度，超时
etiquette			礼节，规矩
deduct						扣除
dense				密度大的，浓密的，茂密的
tinge				些许，略带一丝
a tinge of			一丝
congruent			一致的，全等的
crouch				蹲伏
conserve						节省，储存，保护
fahrenheit			华氏的
corporation					大公司
quench				止，扑灭，抑制
alarm				担忧，警报
nasty				令人难受的，恶狠狠的，严重的，下流的
shovel				铁铲，挖掘机，胡乱塞入
suspicious					怀疑的，可疑的
trunk									树干，躯干，行李箱
ovation				热烈鼓掌
saddle				马鞍，使肩负重担
tragedy					灾难，悲剧
\\\\\\\\
