outcry			强烈的抗议
preface			序言，开场白
sediment			沉淀物
resign						辞职
torch				手电筒，火炬
deteriorate				恶化，磨损
degenerate			恶化，堕落的
characterize				描绘，是...的特征
parade						阅兵，展示，炫耀，游行
let				允许，让，租借期
swing							摆动，挥，使...转变，搞定，转动
incongruous			不协调的，不适宜的
inventory				存货清单
choir										唱诗班，合奏
hatch						舱口，开口，孵，策划
demonstrate					示范操作，证明，表露
conversion						转变，改建，皈依
dearth				缺乏
profane				世俗的，亵渎
cluster				群，串，数据组，聚集
revolt				反抗，违抗，感到厌恶，使惊骇
secular				世俗的
agenda							议事日程
loop					环形
conscientious					勤勉认真的
revenge						报复，报仇
friction									摩擦，不和
diversion								转向，消遣，佯攻
check							检查，控制
proceed				继续，前行
\\\\\\\\
