meteorology					气象学，气象
saturate						将...浸透，使...充满
elbow						肘，用肘推
formidable					难克服的，令人钦佩的
structural					结构上的，结构的
kindle						点燃，激起，着火
decline							下降，恶化，婉拒
enroll						注册，参加
slope					倾斜，山坡
distend					膨胀
exert					施加，利用
appreciable				明显的
aggregate				总数，合计
thirst							口渴，渴望
hurricane								飓风
miracle					奇迹
nightmare				噩梦
opposite								对立面，对面的，相反的
dedicated				献身的，专用的
tender					温柔的，嫩的，一触即痛的，年轻的，投标，提出
pervert					使堕落，歪曲
idiot					傻瓜
forge							伪造，锻造，建立，稳步前进
conscious			神志清醒的，意识到的，故意的，意识
concise				简洁的，简略的
cartoon							动画片，漫画
overtake						超过，压倒
layout					排版，布局
outdated					陈旧的，过时的
sigh								叹气，渴望
\\\\\\\\
