consequent			作为结果的，随之发生的
chop					劈开，切碎，砍，排骨
exposition			详细阐述，博览会
outlet							出口，市场
wardrobe				衣柜，全部衣物
molecule				分子
tablet				刻写板，药片，小块
observatory			天文台
distinct							清晰的，明显的，不同的
telex				电传系统
monarchy				君主政体
negative						否定的，消极的，负面的
graze				放牧，吃草，吃零食，擦伤
starve							挨饿
tide								潮，潮流
parasite					寄生虫
layer				层
strengthen							加固，增强
vogue				时尚
nevertheless			尽管如此
levy						税，征收
encyclopedia			百科全书
drainage				排水，引流
tunnel				隧道，挖
excel				突出
excel oneself			超常发挥
circuit					电路，环形，巡游
thrust				猛推，刺，动力，目的，挤
modify					修改，降低，修饰
utmost				最大的，最远的，极限
\\\\\\\\
