endurance						忍耐力，耐用度
mount						登上，镶嵌，安装，发起，上涌，增加
consensus							一致意见
enforce					强制实施，强迫
tag				标签，警句，给...加标签，跟随
concede			承认，让与，退让
grit				沙子，勇气
elevate				抬起，提高，提升
horizon						地平线，范围
crawl			爬，缓慢前进，巴结，自由泳
mingle			使混合，交往
substantial						可观的，显著的
marginal			微不足道的，非主流的，边缘的
foresee						预见
soil								土壤，农田，国土，弄脏
awful								坏的，可怕的，生病的，极其
regime							政权，养生法
divine						上帝的，神授的，极好的，猜到
assume							假定，获得，装出，呈现
Easter					复活节
shatter					打碎，破坏，使...震惊，使精疲力竭
inquire					询问，打听
annuity					年金
cynical					愤世嫉俗的，冷漠自私的
affix					粘上，固定，签，词缀
compress					压缩，剪短
verge					接近，路边
a crumb of					少许
sustenance				食物，营养，维持
diminish					减少，削弱，贬低
\\\\\\\\
