partisan					坚定的支持者，偏袒的
weed						野草，懦弱的人，除草
chief								领袖，首要的
lap								大腿，一圈，轻拍
surrender	投降
misconceive			误解
fervent				热诚的，虔诚的
aisle				走道
configuration		结构，配置
reap						收割，获得
missile							导弹
oncoming			迎面而来的，即将到来的
mature									成熟的，明智的
occasion				某次，时机，庆典，理由，引起
pretentious			做作的，自命不凡的
mischance			厄运，倒霉事
conquer					占领，克服，战胜
nourish				养育，助长
tourism							旅游业
valuation			估价，评价
compromise					妥协，危及，减少
shield				盾牌，防护板，保护
greedy								贪食的，贪婪的
diet					节食，日常饮食
pigment				色素，颜料
ascend					攀登，升高
sour							酸的，馊的，怨恨的
fury					狂怒，狂暴
guy					家伙
nullify				使...失去法律效力，抵消
\\\\\\\\
