presumption				假定，冒昧
stumble					绊倒，结结巴巴
nucleus					核心，原子核，细胞核
thrive					茁壮成长，繁荣
languid					慢悠悠的，无精打采的
homogeneous					同种族的
scant					一丁点的
versatile				有多种技能的，多用途的
conspicuous						显眼的，显著的
tighten						使变紧，使更严格
haul					大批桩物，旅程，一段时间，运输
haul oneself			爬上某物
rejoice					欣喜
comet					彗星
phonetic				语音的
ambitious						有志向的
abnormal								反常的
maneuver			熟练谨慎的移动，操纵，策略
primitive									原始的，早期的，简陋的
valve				阀
vanity					虚荣，无用
reception						欢迎，接待，接待处，招待会
cordial				热情友好的，强烈的
noxious				有毒的，令人讨厌的
reimburse			报销，赔偿
exacerbate			使...恶化
object							物品，对象，目的，反对
palpitate			悸动，发抖
tick				瞬间，打钩，滴答声
certificate						结业证书，合格证
exploit					英雄业绩，开发，剥削
\\\\\\\\
