vigilant						警惕的
grand								壮观的，傲慢的，极好的
congress						代表大会，国会
academic						学业的
correspond						相符，相当，通信
passive						被动的，冷漠的
discord						不一致
defer						推迟
defer to					听从
gloomy						阴暗的，沮丧的
fanatic						极端分子，入迷者
trick									诡计，恶作剧，技巧，习惯，欺骗
abandon					放弃
therapy						治疗
forfeit					丧失，罚金
execution				处决，实行
majority						大多数
fertile					肥沃的，能生育的，有创造力的
treatment						对待，探讨，治疗，处理
coin					硬币，铸造
vertical						垂直的
erroneous					错误的
alloy					合金
feasible							可行的，可能的
collide				碰撞，冲突
triangle							三角形
innumerable			数不清的
holocaust			大毁灭
dawn				黎明，开端
adverse					不利的
prescription							开处方，处方，规定
\\\\\\\\
