notorious			臭名昭著的
obnoxious			讨厌的，难闻的
desperate					绝望的，极渴望的，极严重的
reign				为王，占上风，当政期
lane					小路，车道，跑道
cruise				乘船游览，巡行
fastidious			一丝不苟的，挑剔的
expertise				专长
restless				躁动的
undo						解开，消除，取消
courier				快递公司，情报员
grab					抓住，霸占，赶紧做，吸引
frantic					发狂似的，狂乱的
yacht				帆船，游艇
doze					打瞌睡
relapse				旧病复发
contact						接触，联系，通讯，熟人
astound				使震惊
ostensible			表面的
equal							相同的，平等的，等于
terminal						晚期的，终点的，站，终端
fall						落下，发生，失守
alleviate						减轻
sociable					好交际的
wholesome		有益健康的
cube				小方块，三次幂
provoke						激怒
acquire							获得，习得
resemble						像，类似于
coherent						连贯一致的，条理清楚的
\\\\\\\\
