margin						页边空白，边缘，幅度，极限
depart				出发，背离
mode				方式，工作状态，行为方式
preliminary			初步的
intrinsic					本质的，固有的
enclose					围绕
entail							须要，导致
heart								心脏，内心，勇气，中心
positive				确定的，乐观的，十足的，正的，优点
collapse					倒塌，折叠
statesman							政治家
jeer					嘲弄
sack					一大袋，开除，床，劫掠
narcotic				致幻毒品
ponder						仔细考虑
argue						争论，主张
sound						声音，印象，听起来，健康的，合理的
irrigation						灌溉
despair				绝望
dentist								牙科医生
focus						重点，聚焦，集中
inundate				淹没
cherish				珍爱，怀有
pointless						无意义的
rhetoric				雄辩
humanity						人类，人道
disgust				作呕，厌恶
wager				打赌
promise								承诺，希望，答应，预报
aspiration			志向
\\\\\\\\
