chase				追赶，向...求爱，催促
plea				请求，抗辩
mobilize			动员，组织
yearn				渴望
personnel				员工，人事部门
vice							有伤风化的行为，恶习
paddle							短桨，涉水，用桨划，掌掴
clutch			抓紧，离合器，一窝
clutches			控制
pedestrian							行人，乏味的
graphic			平面艺术的，图形的，生动的
mercantile			商业的
console					安慰，控制面板
tremendous					极大的，强烈的，极好的
decrease							减少
performance						表演，表现，履行，性能
attempt						企图
naked						裸露的
female						女性的
raid				突袭，抢劫
miserable						痛苦的，不幸的
innocent							无罪的，无害的
stack				一叠，烟囱，
a stack of			大量
stacks			大量
humble			谦逊的，简陋的，击败
humble oneself		低声下气
shamble			蹒跚
ribbon			丝带，色带
tyrannical			残暴的
aerial			空中的，天线
astronomy								天文学
segment							部门，分割
downtown					市中心
\\\\\\\\
