quarry				采石场，开采
compound				有围墙的建筑群，化合物，混合物，复合的，使...加剧
confuse							使迷惑
dean			院长
gossip		流言蜚语，闲聊
succumb				屈服，被压垮
obsess		困扰，念念不忘
distraction					分心，娱乐，精神错乱
miscarriage		流产，失败
dormant			暂时搁置的，潜在的，休眠的
economy					节约，经济
aesthetic			审美的，美观的
facility						场所，特色服务，便利，才能
armour			盔甲，装甲
hamper			礼品盒，阻碍
commitment							承诺，责任感，花费
professional					职业性的，专业的，习惯性的，内行
attack			攻击，抨击，损害，突然发作
exasperate		使恼怒
trial						审判，试验，困难，竞赛
mess								脏乱，污渍，食堂，瞎闹
tear				撕，使分裂，飞跑，裂缝
dose				一次的剂量，服药
dreadful			可怕的，极其的，有病的，尴尬的
maternal			母亲般的，母亲的
feeble			虚弱的，无益的
depression			忧郁
sparse				稀少的，简朴的
polish								抛光剂，擦亮，优雅，改进
trim								修剪，缩短，除去，装饰，整洁的
\\\\\\\\
