massacre				大屠杀，惨败
waver				消退，犹豫不决，摇曳
decrepit				老弱的，破旧的
mortgage				抵押贷款
hypothesis					假设，学说
all						全部，唯一，完全的
finance							资金，财政
take						携带，拿，取走，减去，测量，接受
legislate				立法，预测并应对
permeate					渗透，散布
cavity				孔，腔
definite				明确的，明显的，自信的
skeleton				骨架，构架，纲要
quarterly				季度的
textile				纺织品
textiles				纺织业
conception			概念，构思，受孕
jury							陪审团，评委会
murmur				连续低沉的声音，低声说
virus							病毒
gasp					喘气
fatal							致命的，灾难性的
altitude								海拔，纬度
outdo				胜过
opinion							看法，观点，评价
decay				腐烂，破损，衰退
audit				审计，审查
forthcoming				即将到来的，可得到的，乐于助人的
anthology				选集
yarn					纱线，离奇故事
plaintive				悲伤的
\\\\\\\\
