misrepresent			歪曲
warranty				保修单
rigorous						严格的，缜密的
auxiliary					辅助的，辅助物
terse				简短的
orchard				果园
dissertation			学位论文
vivid							鲜艳的，清晰的，生动的
grumble				抱怨
phenomenon						现象，非凡的人或事物
rally							集会，回升，召集
ceramic				陶瓷的，陶瓷
tongue								舌头，说话方式，语言
initiative					主动性
formula							惯用语句，方案，配方
incipient				早期的
coincidence					巧合，同时发生，相符
envisage				展望，想象
precaution			预防措施
challenge							比赛邀请，挑战，激发
annihilate			歼灭，摧毁
addict					对...入迷的人
conservative								保守的，传统的
edge				边缘，刃，优势，缓慢移动，给...镶边
rumour			谣言
misuse			错用，滥用，虐待
propaganda		宣传鼓动
inherit					继承，接手
secretion			分泌物，分泌
attendance						出席人数，就诊
\\\\\\\\
