illiterate			文盲的，缺乏知识的
turmoil				混乱
denote				表示，意味着
adhere					粘附，遵守
pinch				捏，偷走
a pinch of			少量
pulp					果肉，浆
pierce					穿孔于，穿透
contribution						作用，贡献，捐助
analogy				类似，类推
policy							政策，原则
elegant								优雅的，简明的
witness						目击者，证人，证明
vulgar				庸俗的，粗鲁的
option					选择，期权，选修
economics				经济学
periodically			周期性的
roam					漫步
stoop				俯身，弓背，屈尊
extinguish					扑灭，毁灭，压抑，偿清
disturbance			打扰，弄乱
censor				审查者，删改
lever				杠杆，施压手段，撬动，操控
gang					一帮
detach				使...分开
stimulus				刺激
knot				结，打结
tumult			喧哗，混乱，思绪不宁
ardent			热烈的，热切的
ideology					意识形态
everlasting						永恒的
\\\\\\\\
