insight				洞悉，洞察力
artificial						人造的，假装的
uphold					维持
constitution					宪法，体制，构造，成立
canvas				帆布，油画
prominent						重要的，著名的，显眼的
flirt				调情，不认真的对待
duly					适当的，按时的
maize				玉米
insipid				淡而无味的
favour					赞同，好处，善意行为，较喜欢
malignant			恶意的，恶性的
systematic				有条理的
caustic				尖刻的，腐蚀性的
inherent					内在的，固有的
wage										工资，发动
amuse					逗...笑，给...提供消遣
negligible				可忽略不计的
air								空气，天空，样子，晒干，表达
incur						招致，引起
molest				骚扰
monstrous			巨大而可怕的
edible				可食用的
offer						提出，给予，提供，具备，提议
alternate			交替的，间隔的，轮流
tramp				流浪者，远足，长途跋涉
sprout				发芽，长出
tempo						速度，节奏
tough								刚强的，强硬的
maritime					海运的，海洋的
\\\\\\\\
