spark							火花，闪现，引发
establish						创立，证实
dim						昏暗的，模糊的，变暗，减退
lodge							门房，正式提出，寄宿，存放
rendezvous				约会
martyr				烈士，折磨
confront							面对
neat							整齐的，简洁的，极好的，匀称的，纯的
rectangle								长方形
transgress				违反，侵犯
verdict				裁决，结论
evacuate				撤出，抽空
remorse				懊悔
caution								小心
subordinate					次要的，下属，使...服从
chin					下巴
live							过，居住，生活，现场的
global				全球的，全面的
revive					使复元，振兴
pesticide				杀虫剂
create						创造，引起，发脾气
gloss				光泽，虚饰
entreat			恳求
detain			耽搁，拘留，住院
tidy							整洁的，相当大的，容器
eloquent					雄辩的，传神达意的
attend						参加，伴随，照料，出席，注意
postage					邮费
postpone					推迟
crisp					松脆的，清新的，炸
\\\\\\\\
