instrument							器械，乐器，仪表
most									大多数的，最大量的，最，非常
situated			位于...的，处于...状况的
notify			通知，报告
phobia			恐惧症
municipal					市政的
eye					眼睛，注意，打量
curl				弄卷，卷曲，卷发
vehicle					机动车，手段
minus					减去，负的，不利的
scold						责骂
section								部分，阶层
reciprocal					互惠的，倒数
category						种类
captive				俘虏，被俘虏的，受控制的
panic							恐慌
intact				完好无损的
entry									进入，记录，参赛
inspiring			鼓舞人心的
tedious						单调乏味的
cannon				大炮，相撞
stereo				立体声
feedback						反馈
lament				悲痛，挽歌，抱怨
paradise					天堂，乐园
fountain							喷泉
acquisition							获得，习得
revise						修改，复习，修订
closet				壁橱，隐秘的
prolific				多产的
\\\\\\\\
