audible			听得见的
advent			出现，到来
recline			后倾，斜靠
pier				凸式码头，支柱
menace					威胁，恐吓
outrageous		可耻的，荒诞的
fossil			化石，老顽固
ethnic						民族的
marital					婚姻的
wrought			产生，实现，制作精良的
supposedly		据说
clockwise		顺时针的
sector							行业，部分，扇形
chunk			大块，相当大的量
transplant		移栽，移植手术
radiate			散发，流露，辐射
millennium		一千年
speculate				猜测，投机
inept			无能的，不恰当的
lamb						羔羊，宝贝
specimen				样本，某种人
hop				跳跃，快速移动，啤酒花
differ							有区别，持不同看法
volunteer							志愿者，主动提供
aquarium			水族池
supposition		推测
costume					服装
fixture						固定设施，长期驻守的人
strive			力争，斗争
\\\\\\\\
