seclude				隔离
heighten				加高，增强
predecessor			前任
aboriginal			土著的，本地的
chronological			按时间先后顺序排列的
assault					袭击，冲击
sober				未醉的，严肃的，冷静的
implement						工具，实施
quiver						发抖，颤抖
ostentation			炫耀
compulsory				必修的
hike					远足，大幅度上升，拉起
tackle							处理，阻截
legislation							法律
estate				庄园，财产，人生阶段，政体阶级
interrogate			审讯，查询
plummet				坠落，暴跌
roll								使滚动，转动，弄翻，翻滚，花名册
assimilate					吸收，同化
harsh							严厉的，恶劣的，刺眼的
recall					召回，回忆起，使...恢复
electronics				电子学，电子器件
abbreviation				缩写
flee							逃跑
numb									失去知觉的，麻木的
crude						粗鲁的，粗略的，粗糙的
metropolitan					大都市的，本土的
notable						著名的，重大的
treble						三倍的
propagate						繁殖，传播
\\\\\\\\
