converge				相交，趋于一致
compel						强迫，强求
pointed				尖的，尖锐的
swarm					一大群，挤满，攀上攀下
shrewd						精明的
abolish					废除，取消
imitate					仿效，模仿，复制
waggon				马车，货车
definitive				最终的，最权威的
imminent								迫近的
dispute				争论
horticulture			园艺
semblance				外貌
impair							削弱，降低，损害
dismay				惊愕
dash										猛冲，猛击，使...破灭
outlying				偏远的
catching				传染性的，有感染力的
deter					威慑，防止
influx				大量涌入
deplore				强烈谴责
pathos				感染力
namely						即
relinguish				放弃，松开
sole					脚掌，鞋底，仅有的
thaw					融化，解冻，变的随和
fling					扔，猛推，扑，全身心投入
have a fling			恣意行乐
have a fling at			尝试
sufficient						充足的
morality				道德规范，道德性
shave						剃，擦过，刮脸
\\\\\\\\
