poster							海报
rice								水稻，大米
hooray							好哇
hay								干草
construction						建造，装配，构思，解释
art								美术，技能
arts								艺术，文科
crossing							横渡，道口
whisper							低语，谣传
consensus							一致意见
secretary							秘书，大臣
midday							正午
every								每一个，所有的
until								直到
gay								愉快的，同性恋的
virtue							美德，优点
glance							一瞥，闪烁
conflict							冲突
telephone							电话
bell								铃铛
cold								冷的，冷漠的，感冒
dance								跳舞
bank								岸，堆积，银行
a bank of							一堆
thread							线，脉络，把...装入，穿过
threads							衣服
skilled							熟练的，技术性的
boxing							拳击
air								空气，天空，样子，晒干，表达
airs								矫揉造作
exist								存在，出现，生存
tobacco							烟草
snatch							抢走，抓紧时间做，争抢，抓，片段
three								三
\\\\
