double							成双的，兼任
doubles							双打
invention							发明物，虚构
printing							印刷
worthless							无价值的
tortoise							陆龟
because							因为
dirty								肮脏的，灰暗的，非常
supply							供应，供给
inform							通知
responsibility						负责，义务
class								等级，班级，优雅，将...归类
frontier							边界，前沿
dine								进餐
life								生命，一生，生活
child								儿童，子女
UN								联合国
overweight							肥胖的，超重的
important							重要的
fist								拳
factory							工厂
division							分开，分配，除法，部门
wrist								腕关节
hundred							一百
hundreds of						许多
chat								聊天
bring								带来，提供，促使
bring about						导致
bring along						带来
amaze								使大为惊奇
village							村庄
journalist							新闻记者
symbol							象征，符号
spirit							精神，灵魂，实质，心境，偷偷带走
\\\\
