kick								踢
kick oneself						自责
ice								冰，钻石
distinguish						区分，使得以区分
gesture							手势，用动作示意
Tokyo							东京
puzzled							困惑的
respond							答复，回应
latest							最新的
at the last						最晚
pride							骄傲，自尊
wind								风，趋势，绕，蜿蜒
split							切开，分担，分裂
splits							劈叉
handsome							英俊的，慷慨的，可观的
left								左边
storm							暴风雨
shirt							衬衫
seventeen							十七
unhealthy							不健康的
lap								大腿，一圈，轻拍
neighbourhood						社区，邻近地区
used								曾经，习惯的，旧的
windy							多风的，害怕的
murder							谋杀罪
nation							国家，民族，国民
cake								蛋糕
often							经常，往往
accompany							陪同，伴随，伴奏
subscribe							订购
relation							关系，亲戚
relations							往来
\\\\
