anywhere								任何地方
dilemma								窘境
beard								胡须，公然反对
though								尽管，然而
bow									弓，蝴蝶结，鞠躬，让步
many									许多的，更加，群众
what									什么，多么，哪个
what of								...怎么样，...有什么关系
what with								因为
shooting								枪击，狩猎，拍摄
government							统治，政府
right								正当，权利，右，准确的，正好
rights								权利，正确性
cash									现金
chest								胸膛，柜子，金库
advise								劝告，建议
sad									悲伤的，糟透的
another								再一的，另一的
pole									柱，杆，地级，磁极
poles								对立极端
average								一般水平，平均的，普通的
capital								大写字母，首都，好处
sit									坐，任职，合身
stain								弄脏，玷污，污点
aluminium								铝
conventional							传统的，墨守陈规的
prepare								准备
elegant								优雅的，简明的
present								在场的，当前的，礼物，提交，呈现，介绍
present oneself						到来，展示
present itself							出现
bachelor								单身男士，学士
religious								信教的，宗教的，肃穆的
mailbox								邮箱
dizzy								头晕目眩的，困惑的
chopsticks							筷子
\\\\
