accustomed						习惯的
ancient							古代的，年老的
acquire							获得，习得
regardless						不理会的，不顾一切的
firefighter						消防队员
pineapple							菠萝
impossible						不可能的
classmate							同班同学
pop								汽水，击打，爆裂，放下
contribute						捐献，提出，是...的原因之一
license							许可
peaceful							安静的，和平的
probable							很可能的
admire							羡慕，欣赏
identity							身份，特点，个性
observe							注意到，观察，遵守，庆祝
profession						职业，宣称
minister							部长
enough							足够的
cup								杯子，奖杯，使成杯状
a cup of							一杯
movement							动作，运动，运输
ending							结尾
centigrade						摄氏的
ceremony							仪式，礼节
point							尖，点，用...指向，表明
sniff							吸气，气味，迹象
annoy							惹恼，打搅
architecture						建筑学
\\\\
