television							电视
editor							编辑，主编
criminal							罪犯，犯罪的
dialogue							对话
per								每一，按照
programme							计划，节目，频道
menu								菜单
pancake							薄煎饼
her								她
mist								薄雾
pace								一步，速度，节奏，踱步
paces								步态
story								楼层
regret							为...懊悔，遗憾
grocer							食品杂货商
celebration						庆祝
build								建造，培养，发展，体形
smoke								烟
confuse							使迷惑
cottage							小屋
manage							完成，管理
lovely							美丽的，美好的
rude								粗鲁的，猥亵的，简陋的
nursing							护理病人的，护理
compensate							赔偿，补偿
yourselves							你自己
always							总是，永远
origin							产地，起源
origins							出身
distinction						差别，卓越，优雅
begin								开始
garlic							大蒜
\\\\
