tailor								裁缝，定制
off									离开，关掉
unit									单元，单位，部门，部件
allergic								过敏性的
finger								手指，狭长物
upstairs								在楼上，往更高职位
misunderstand							误解
cater								满足...的需要
riddle								谜语，粗筛，充斥
huge									极大的
centimetre							厘米
more									更多的，再
unable								不能的，不会的
telescope								望远镜，叠缩
castle								城堡
noisy								喧闹的
which								哪一个，那个
equip								装备，使有能力
rain									雨
rains								雨季
hill									小山
doctor								医生，博士，篡改
incorrect								不正确的
help									帮助
help oneself							自己取用，顺手牵羊，忍不住
room									房间，空间，机会
park									公园，园区，停车
part oneself							坐下
idiom								成语，方言，风格
beneficial							有益的，受益的
incident								发生的事，暴力事件
be incident to							由某事物导致的
without incident						平安无事
text									文本，书籍，发短信
strength								体力，力度，结实，人手
\\\\
