something							某事物，重要的事，小费，非常
something of						相当
themselves							他们自己
net								网，获得，净的
rail								栏杆，铁轨，怒斥
interrupt							打断，暂停，遮挡
case								事例，情况，诉讼，病例，容器，包裹
in case of							如果发生
in case							以防，假使
bless								神佑，赋予，感激
shoot								射击，抛出，拍摄，快速移动
upward							向上，往后
upwards of							多于
atmosphere							空气，大气，气氛
consistent							一贯的，持续的，不变的
be consistent with					与某事物相符
organization						机构
each								每个
stone								石头
afternoon							下午
loud								大声的
foot								脚，底部，英尺，支付
sunglasses							墨镜
hilly								多丘陵的，陡的
command							命令，控制，掌握
string							细绳，一串，悬挂
thus								这样，因此
percent							百分之
banana							香蕉
thick								厚的，茂盛的，密布的，粘稠的，亲密的
have thick skin						脸皮厚
far								远，非常，过分的，遥远的，极端的
by far							...得多，最...
far and away						毫无疑问的
far from							完全不
astronaut							宇航员
much								很多的，大量，非常，不过如此
security							安全，担保，保障，证券
rigid								坚硬的，死板的，苛严的
\\\\
