keeper							饲养员，看守，监护人
backward							向后的，倒退的，落后的，犹豫的
uncle								叔叔
reality							现实，事实
rot								腐烂，恶化
receive							收到，遭受，欢迎
bee								蜜蜂
appreciation						感谢，理解，欣赏
chairman							主席
swift								迅速的，速度飞快的，雨燕
lavatory							抽水马桶
judge								法官，判断，评价
tough								刚强的，强硬的
biochemistry						生物化学
dull								暗淡的，乏味的，减轻
king								国王
crash								碰撞，倒闭，死机
church							教堂
language							语言
boundary							边界
cheat								欺骗
cocoa								可可粉
idea								主意，期望，目的，看法，知晓
climb								攀登，晋升
upset								使苦恼，打乱
Thursday							星期四
performance						表演，表现，履行，性能
appeal							呼吁，上诉，吸引
national							国家的
socket							插座
\\\\
