burglar							入室盗贼
owner								物主
grow								生长，增强，开始
beautiful							美丽的，出色的
fierce							凶猛的，强烈的
pedestrian							行人，乏味的
court								法庭，宫廷，球场，恋爱
badminton							羽毛球运动
postbox							邮箱
photo								照片
onion								洋葱
meat								肉，实质
Atlantic							大西洋的
voyage							航行
excellent							极好的
telegraph							电报
breakthrough						突破，突围
cause								原因，理由，事业，引起
swap								交换
nervous							局促不安的，绷紧的，神经的
thorough							彻底的，全面的，缜密的
seal								海豹，密封，印章，保证，达成
tissue							生物组织，纸巾
a tissue of						一系列
damp								潮湿的
condemn							谴责，判处，迫使...接受困境
yawn								打哈欠
biology							生物学，生理
announcement						通告
punish							惩罚
army								陆军，大群
\\\\
