hunger							饥饿，渴望
businesswoman						商人
well								健康的，好的，幸运的，应该，井
be just as well to					还是做...好
as well							也
as well as							除...之外
airplane							飞机
boss								老板
warm								温暖的，热情的，取暖
figure							数字，人物，身材，插图，合乎情理，认为
condition							疾病
bus								公共汽车
works								工厂，工程
bargain							协议，便宜货，讲条件
dynamic							充满活力的，动态的，动力
dynamics							力学，动态
song								歌曲，唱歌
goal								球门，进球得分，目标
grain								谷物，颗粒，少量，纹理
add								补充，把...加起来
premier							总理，最重要的
starve							挨饿
himself							他自己
pie								馅饼
slave								奴隶，苦干
December							十二月
budget							预算，便宜的
dinner							晚餐
patience							耐心，坚忍
should							应该，会，假如，竟然
mistaken							弄错的，错误的
adjust							调整，适应
possession							拥有，占有，领地
possessions						财产
blanket							毯子，覆盖，全面的，不加区分的
\\\\
