ashamed							惭愧的
crowded							拥挤的
long								长的，长时间的，很早以前，整个的，渴望
review							检查，评估，评论
shine								发光，表现出色
rid								使摆脱
learn								学习，得知
disagreement						分歧，争吵
lose								失去，输掉
graduate							研究生的，毕业，渐进，将...分等级
everybody							每个人
describe							描述，形容
especially							尤其，十分
Tuesday							星期二
crossroads							十字路口，关键时刻
soon								不久，迅速的，早，宁可
inspect							检查
protection							保护，防护物
fasten							扣上，系上，强加，集中
deeply							强烈的，深刻的
tanker							邮轮
lion								狮子
skill								能力，专长
familiar							熟悉的，常遇到的
silence							寂静，沉默
send								发送，使移动，使进入某状态
birthday							生日
compare							比较
illness							疾病
universal							普遍的，全体的，通用的
\\\\
