arise								产生，起身，升起
reason							原因，正当理由，情理，推断
the power of reason					推理能力
picture							图画，照片，情形，美景
pictures							电影院
make a picture						拍摄电影
lack								缺乏
westerner							西方人
unless							除非
everyday							日常的，每天的
gift								礼物，天赋，提供
soap								肥皂
painting							绘画
advance							前进，上涨，提前，预支
sex								性别
thunderstorm						雷暴
privilege							特权，荣幸
personal							个人的，外表的，亲自的
introduction						介绍，推行
carpet							地毯，覆盖
chemistry							化学
hear								听到
combine							混合，搭配，使结合
smelly							有强烈气味的
tourism							旅游业
Japan								日本
affection							喜爱，爱情
locust							蝗虫
accuse							指责，指控
beam								光柱，定向传送，照耀
embarrass							使尴尬
businessman						商人
bat								球板，速度，眨眼，蝙蝠
\\\\
