English							英语
reference							提及，引用，考虑，参考，关系
beer								啤酒
public							公众的，政府的
breathe							呼吸，流露，激发
eggplant							茄子
cousin							堂兄
push								推，催促，推行，推
push oneself						撑起身体，勉强
tolerate							容许，忍受
golden							金色的，金制的，美妙的
waitress							女服务员
senior							年长的，级别高的，成人的
false								错误的，骗人的
February							二月
suffering							疼痛，痛苦
sufferings							苦难
peace								和平，安静，和睦
astronomer							天文学家
biscuit							饼干，淡褐色
reuse								重复使用
rope								绳索
a rope of							一串
radio								无线电，收音机
cent								分，一分硬币
refreshment						恢复活力
refreshments						茶点
vital								必不可少的
settlement							定居点，协议，解决
pot								锅，罐，花盆，巨款
windbreaker						风衣
frog								青蛙
sure								确信的，可靠的，有信心的，当然，确实
poor								贫穷的，可怜的，不良的，不擅长的
the poor							穷人
\\\\
