soft							软的，柔滑的，宽厚的
relevant						有关的
limit							极限，限制，边界
sow							母猪，播撒，散布
usual							通常的
jazz							爵士乐，胡扯
century						一百年，世纪
tea							茶
corner						角落，街角，困境
fiction						小说，错觉，虚构的事
understand						懂，意识到，认为
mean							意味着，打算，注定，吝啬的，出色的，平均数
resist						抵抗，拒受...的诱惑
playmate						玩伴
fault							缺点，过错
thriller						惊险电影
message						信息，寓意
theme							主题
accuracy						精确
balloon						气球，暴涨
you							你
oil							油
departure						出发，背离，开端
eighth						第八
corporation					大公司
salesman						推销员
chorus						合唱队，齐声说
competition					竞争，比赛
boat							小船
\\\\
