fur							毛皮，水垢
trainer						教练员，运动鞋
encourage						鼓励，怂恿，促使
road							道路，街道，途径
punishment						惩罚
place							地点，场所，座位，地位，名次，放置
parking						停车，停车场
machine						机器，机构
tell							讲，告诉，表明
tell off						责备
tell on						告发
think							思索，认为，打算，想象
nearby						在附近，附近的
human							人的，人
range							种类，系列，范围，排列，延伸
complex						复杂的，建筑群，情节
fever							发烧，亢奋，痴迷
royal							王室的
brave							勇敢的，美好的
irrigate						灌溉，冲洗
desert						抛弃，背离，沙漠
urban							城市的
splendid						壮丽的，极好的
Asian							亚洲的
conversation					谈话，交谈
rescue						解救
lamp							灯
lecture						讲座，训斥
teacher						教师
beg							乞讨，恳求
trust							相信，托付，希望
trust oneself to do				敢于做某事物
\\\\
