strike								击打，碰撞，给予，打动，罢工
strike a deal							成交
amateur								业余爱好者
March								三月
its									它的
phone								电话
province								省，领域
workplace								工作场所
play									玩耍，演奏，摇曳
reply								答复，回应
department							部门，科，系
intention								意图
tutor								教师，课本
graduation							获得学位，毕业
spear								矛，嫩枝
communication							交流，信息
communications							通信
plant								植物，工厂，机器，播种，安放，给予
to plant oneself						占据位置
listen								听
this									这，这么
decide								决定，解决
empire								帝国，大企业
worker								工作者
weekday								周日
controversial							有争议的
company								公司，陪伴，客人
a company of							一群
Spanish								西班牙的
mile									英里，很长距离
miles								在很大程度上
dry									干的，口渴的
skirt								裙子，回避
sign									符号，迹象，征兆，签订
\\\\
