playroom							游戏室
hole								洞，漏洞，短缺
fingernail							手指甲
spoon								匙，用匙舀
assess							估算，评价
middle							中间，腰部
cartoon							动画片，漫画
mail								邮递，邮件
cafeteria							自助餐厅
violinist							小提琴手
unpleasant							令人不快的
relationship						联系，关系
receiver							收件人，听筒
health							健康
pea								豌豆
grill								烤架，盘问，烤炙
softball							垒球
seaweed							海藻
coral								珊瑚
rush								急促移动，匆忙行事
narrow							狭窄的，有限的，微小的，变窄，缩小
boot								靴子，解雇，猛踢，启动
claw								手，爪子，用爪子抓，拼命努力
answer							回答，解决办法
own								自己的，拥有，承认
rhyme								押韵
likely							可信的，可能的，合适的
plain								简朴的，清晰的，平凡的，完全
Plain								平原
plain rice							白饭
socialism							社会主义
\\\\
