experience							经验，经历
awful								坏的，可怕的，生病的，极其
applicant							申请人
speak								说话，谈话，发言，有意义
twelfth							第十二个
nail								钉子，指甲
fancy								想要，想象，高级的
disability							残疾，不利条件
besides							而且，此外，除...以外
beginning							起点，开始
beginnings							起源
rock								岩石，摇晃
betray							背叛，泄漏，暴露
soil								土壤，农田，国土，弄脏
sunset							日落时分
allow								允许，分配
allow for							将...考虑在内
clerk								职员
chant								吟唱，吟诵
cloudy							多云的
here								这里，来了
price								价格，代价，给...定价
bride								新娘
challenge							比赛邀请，挑战，激发
painful							令人痛苦的，艰苦的
cushion							垫子，缓冲物
oilfield							油田
fit								健康的，适合的，几乎要...的，安装，合适
value								价值，重要，值，重视
values							价值观
scene								场景，现场，景色，圈子
freezing							极冷的，冰点
\\\\
