wild							野生的，放荡的，狂怒的，极棒的
scenery						风景
sideway						小路，向旁边，旁边的
squid							鱿鱼
convenient						方便的
dark							黑的，黑暗
zero							零
interesting						兴趣，利益
sugar							糖
silk							丝绸
nod							点头，小睡
float							浮
believe							相信，认为
June							六月
treatment						对待，探讨，治疗，处理
sight							符号，迹象，征兆，签订
calm							平静的，宁静
plenty							大量，非常
missile							导弹
environment						环境
anyone						任何人
clearly							清楚的，易懂的，显然的
climate						气候，氛围
behave						表现，运转
behave oneself					表现良好
delete							删去
call							称呼，呼唤，打电话，喊叫，需要
catastrophe						灾难
orbit							轨道，势力范围，绕…运行
\\\\

