customs							习俗，习惯，惠顾
snowy								白雪覆盖的，多雪的，雪白的
waste								浪费，荒废，废物
regard							考虑，尊敬，方面，注视，看待，涉及
regards							问候
as regards							关于
communism							共产主义
less								较少的，减去...之前
French							法国的
reduce							减少，降低，缩短，迫使
identification						鉴定，认同
alphabet							字母表
lawyer							律师
moon								月球，出神的想
robot								机器人
nineteen							十九
sigh								叹气，渴望
food								食物，菜肴
raise								举起，提高，提出，扶养大
strengthen							加固，增强
league							联盟，等级
scissors							用剪刀剪
sweat								汗，繁重的工作，焦虑，冒出
sweats							运动裤
reflect							映出，显示，深思
deep								深的，深奥的
the deep							大海
tooth								牙齿，权力
orange							橙子，橘黄色
prohibit							禁止，阻止
finance							资金，财政
rule								规则，常规，统治，直尺
as a rule							通常
tank								容器，一箱，坦克，惨败
worthy							值得的，大人物
\\\\
