communicate						表达，交流，相连
communicate itself					显露
population							种群，人口
influence							影响，势力，作用
Oceania							大洋洲
noble								贵族的，高尚的，壮观的，上等的
knife								刀
grandson							孙子
revolution							革命，天体运行
clone								克隆
post								柱，标志杆，张贴，公布
bunch								束，一群人，把...扎成捆
twenty							二十
troop								群，成群结队而行
troops							士兵
kangaroo							袋鼠
dear								可爱的，亲爱的，昂贵的
welfare							福祉，福利
roll								使滚动，转动，弄翻，翻滚，花名册
a roll of							一卷，一堆
explanation						解释，说明，缘由
feel								触摸，感觉到，意识到，认为，气氛，天赋
mad								疯的，愚蠢的，气愤的，狂热的，非常
squirrel							松鼠
she								她
destination						目的地
differ							有区别，持不同看法
pack								盒，背包，装，挤满，包扎，压实
a pack of							一盒，一群
seaman							水兵
terror							恐惧，恐怖的事物
force								力，暴力，影响，部队，强迫
in force							大批的
forces							武装力量
discussion							讨论
station							火车站，地铁站，警察局，电台，社会地位，派驻
\\\\
