old								老的，旧的
big								大的，高的
anyway							无论如何，不过，至少
fry								油煎
commitment							承诺，责任感，花费
stand								站立，位于，很可能会，忍受
stand as							担任
stand for							表示，支持，忍受
Australia							澳大利亚
recover							收复，恢复，挽回，利用，康复
pint								品脱
wolf								狼
creature							动物，人，工具
sentence							句子，判决
street							街道
flash								闪光，闪现，飞奔，华丽的
flash about						到处炫耀
equality							平等
relate							把...联系起来，讲述
relate to							涉及，理解
independence						自立
willingly							自愿的
basic								基本的，简陋的
basics							基本原理
consist							组成
land								陆地，农村，国家，得到，使陷于
land oneself in						陷入
land oneself with					承担
land up							告终
user								使用者
brain								脑
brains							智慧
choice							选择，上等的
introduce							介绍，主持，引出，推行
ride								骑，乘坐，数落，短途旅程
ride on							取决于
circulate							循环，传播，散发
person							人，身体
the first person					第一人称
nursery							日间托儿所，儿童室，温床
regard							考虑，尊敬，方面，看待
regards							问候
as regards							关于
\\\\
