postman									邮递员
sceptical									怀疑的
cruel									残忍的
seem										好像
access									入口，享用机会，进入，存取
statement									说明，表态
ambiguous									有歧义的，意义含糊的
island									岛屿
honey									蜂蜜，甜蜜，亲爱的
wherever									究竟在哪里，在各处，某个地方，在任何情况下
breathless								气喘吁吁的，极快的，屏息的
golf										高尔夫球
danger									危险
interest									兴趣，趣味，利益，利息，使感兴趣
interests									利益集团
flaming									燃烧的，火红的，强烈的，讨厌的
temporary									短期的，临时的
accomplish								完成，达到
stupid									笨的，迷糊的
glue										胶水，目不转睛
exercise									锻炼，练习，实施，活动
exercises									仪式
winner									获胜者
sandwich									三明治
heap										堆，大量，倾注
heaps of									许多
heaps									非常
trend									趋势，倾向
cellar									地窖，藏酒
visitor									来客，参观者
seed										种子，播种
out										在外面，公开，结束
breakfast									早饭
\\\\
