certainly									无疑的，当然
them										他们
kindergarten								幼儿园
microwave									微波
hurl										猛扔，大声说出
hurl oneself								扑
sofa										长沙发
camel										骆驼
engine									发动机
lift										抬起，去除，鼓舞，偷盗
surrounding								周围的
flexible									柔韧的，可变通的
holy										神圣的
wrong										错的，不道德的，有毛病的，冤枉
crop										作物，收成，剪短
subjective									主观的，臆测的
blame										责怪，自责
fireplace									壁炉
cheek										面颊，厚颜无耻
fluency									流利
pen										笔，文字
survival									存留，幸存者
slavery									奴隶制，沉迷
explorer									探险者
admission									准许进入，承认
stress									精神压力，紧张，强调
brunch									早午餐
victory									胜利
safe										安全的，稳妥的，保险箱
passport									护照，途径
pregnant									怀孕的，意味深长的
\\\\
