wealthy							富裕的
the wealthy							有钱人
channel							电视台，途径，海峡，引导
pillow							枕头，垫子
soup								汤
analysis							分析
cassette							盒式磁带
laundry							洗衣店，洗衣房
decrease							减少
insert							插入
encouragement						鼓励
youth								年轻，青年人
thousand							一千
thousands							千位数
physical							身体的，物质的，体检
change							改变，替换，零钱
allowance							补贴，限量
make allowance for					考虑到
asleep							睡着的，麻木的
swimming							游泳
alternative							可供替代的，非传统的，选择
kindness							好意
accept							接受，采用，忍受
noise								声音，噪声
noises							议论
clear								透明的，晴朗的，清楚的，离开，清除
adaptation							适应，改编
novel								小说，新颖的
inventor							发明者
merciful							仁慈的，幸运的
shopping							购物
soccer							足球运动
pan								平底锅，淘洗
a pan of							一锅
\\\\
